Name,Latitude,Longitude
Bangpakok 8 Hospital,13.662666094846339,100.40711205687627
Ramkhamhaeng Hospital,13.759078211275261,100.63679298943322
Kasemrad Hospital Bangkae,13.709839275975142,100.3984442207092
Central General Hospital,13.856397060756358,100.61485244607314
Thai Eye Center,13.690576972308573,100.5088744678768
Bangkok Christian Hospital,13.728620815097553,100.5311881940382
King Chulalongkorn Memorial Hospital,13.73062682497132,100.53637106997527
Saint Louis Hospital,13.719299986734507,100.52514842832657
BNH Hospital,13.724776601175895,100.53458171964344
Mahesak Hospital,13.725361215531974,100.51947097600826
Lerdsin Hospital,13.720588000000001,100.51980400000001
Kasemrad Hospital Prachachuen,13.830310486658888,100.53124572853076
Siriraj Hospital,13.755876387342102,100.47690069474889
Chaophya Hospital,13.754266157625382,100.47783948687399
Srivichai Hospital,13.759501079937626,100.46991770213492
Thonburi Hospital,13.751143881730552,100.47747714490929
Yaowarak Hospital,13.720020564477954,100.47453454224623
Bang Phai Hospital,13.724630968937205,100.46497562451331
Nawamin 2 Hospital,13.799206,100.64751
Vibhavadi Hospital,13.838033946135285,100.56504639425106
Bang Khun Thian Hospital,13.699126177710239,100.47010434749883
Rajanukul Institute,13.761304292923764,100.55460048598356
Vajira Hospital,13.780435926169654,100.50889094358419
Metropolitan Electricity Authority Hospital,13.786824037353055,100.5099323043584
Bangkok Hospital,13.763623999999998,100.5899
Somdet Chaopraya Institute of Psychiatry,13.730675,100.504683
Taksin Hospital,13.730356641002905,100.5079902754134
Theptarin Hospital,13.714278185012386,100.57699562867954
Mongkutwattana General Hospital,13.89360565364186,100.56183578815468
Seriruk Hospital,13.810446938490422,100.72975402879271
Navaminthra 9 Hospital,13.81352,100.726972
Wetchakarunrasm Hospital,13.857225792002433,100.85877437051573
มูลนิธิสงเคราะห์เด็กของสภากาชาดไทย,13.735105550246153,100.53445933358955
Police General Hospital,13.743214932038553,100.53976065447212
Prasarnmit Hospital,13.784856836337084,100.54618683246805
Veterans General Hospital,13.772796876672224,100.55171239648323
Phyathai 2 Hospital,13.773949050930007,100.54068910382082
Siriraj Piyamaharajkarun Hospital,13.759713004944349,100.48598158030394
Hua Chiew Hospital,13.750052276965404,100.51537931136434
Bangkok Metropolitan Administration General Hospital,13.746409781144285,100.50952261222672
Kwongsiew Foundation Hospital,13.744901312232775,100.51199941520845
Rajburana Hospital,13.678020875675932,100.50272934680748
Bangpakok 1 Hospital,13.669977923447547,100.50286652085512
National Cancer Institute,13.765967999999999,100.526948
Rajavithi Hospital,13.764361588692315,100.53623922480844
Priest Hospital,13.761337650162258,100.52690967206387
Phramongkutklao Hospital,13.767670594147118,100.53426157002899
Queen Sirikit National Institute of Child Health,13.765808384622323,100.53537368774414
Hospital For Tropical Diseases,13.765785361132119,100.53362718923592
Institute of Dermatology,13.764901257929726,100.53484391147005
Thian Fah Foundation Hospital,13.738090576008227,100.51245016377494
Kasemrad Hospital Sukhapibal 3,13.752725,100.706177
Saint Louis Hospital,13.719299986734507,100.52514842832657
Vibharam Hospital,13.734811836898954,100.6453224816883
Samitivej Srinakarin Hospital,13.746737181436224,100.64109922440441
Thonburi 2 Hospital,13.786726974295695,100.37277690850424
Somdet Phra Pinklao Hospital,13.70999364988892,100.48709392547607
Krungdhon 1 Hospital,13.716022491455078,100.4896240234375
Krungdhon 2 Hospital,13.714648067008175,100.49014349710234
Ladprao General Hospital,13.791695870065801,100.6103454935255
Passarapiban Nursing Home,13.794786686707877,100.60717723279824
Samitivej Sukhumvit Hospital,13.732141,100.57857299999999
Camillian Hospital,13.739182496174053,100.5839634117709
Bumrungrad International Hospital,13.700440056474495,100.54554760670923
